Business Name,Business Type,Address,Phone Number,Rating,Online Delivery,Website
Bistro Cafe,"Breakfast & Brunch, Coffee & Tea, Sandwiches",1352 NE 1st Ave,+17865333876,4,No,https://www.yelp.com/biz/bistro-cafe-miami-6?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Gianni's,"Mediterranean, Italian",1116 Ocean Dr,+17864852200,3.5,Yes,https://www.yelp.com/biz/giannis-miami-beach-5?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Cafe La Trova,"Cocktail Bars, Cuban, Venues & Event Spaces",971 SW 8th St,+17866154379,4.5,Yes,https://www.yelp.com/biz/cafe-la-trova-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Juice & Java,"Juice Bars & Smoothies, Acai Bowls, Mediterranean",1346 Washington Ave,+13055316675,4,Yes,https://www.yelp.com/biz/juice-and-java-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sushi Song,"Sushi Bars, Desserts, Salad",1239 Washington Ave,+17865362500,4,Yes,https://www.yelp.com/biz/sushi-song-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Dasher & Crank,"Ice Cream & Frozen Yogurt, Desserts, Cupcakes",2211 NW 2nd Ave,+13056408579,4.5,Yes,https://www.yelp.com/biz/dasher-and-crank-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mac's Club Deuce,"Dive Bars, Cocktail Bars",222 14th St,+13055316200,4,No,https://www.yelp.com/biz/macs-club-deuce-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Alloy Bistro Gourmet,"Italian, Seafood, Wine Bars",154 SE 1st Ave,+17867732742,4.5,Yes,https://www.yelp.com/biz/alloy-bistro-gourmet-miami-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Buon Pane Italiano Bakery,"Bakeries, Pizza, Sandwiches",729 5th St,+13056468144,4.5,Yes,https://www.yelp.com/biz/buon-pane-italiano-bakery-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Rice Mediterranean Kitchen,Mediterranean,1318 Alton Rd,+13055310332,4,Yes,https://www.yelp.com/biz/rice-mediterranean-kitchen-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Morgan's Restaurant,"American (New), Breakfast & Brunch, Comfort Food",28 NE 29th St,+13055739678,3.5,Yes,https://www.yelp.com/biz/morgans-restaurant-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Osteria Morini,"Italian, Desserts, Cocktail Bars",1750 Alton Rd,+13059181037,4.5,No,https://www.yelp.com/biz/osteria-morini-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sushi Express,"Japanese, Sushi Bars",1518 Washington Ave,+13055316068,4,Yes,https://www.yelp.com/biz/sushi-express-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Fleming’s Prime Steakhouse & Wine Bar,"Steakhouses, Wine Bars, Seafood",600 Brickell Ave,+17869158790,4.5,No,https://www.yelp.com/biz/fleming-s-prime-steakhouse-and-wine-bar-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Jar + Fork,"Juice Bars & Smoothies, Comfort Food",270 E Flagler St,+13053645643,4.5,Yes,https://www.yelp.com/biz/jar-fork-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Crema Gourmet Espresso Bar,"Coffee & Tea, Sandwiches, Breakfast & Brunch",1601 Washington Ave,+17862167343,4,Yes,https://www.yelp.com/biz/crema-gourmet-espresso-bar-miami-beach-6?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Toni's Sushi Bar,"Japanese, Sushi Bars",1208 Washington Ave,+13056739368,4,Yes,https://www.yelp.com/biz/tonis-sushi-bar-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Lido Bayside Grill,"Mediterranean, American (New)",40 Island Ave,+17862450880,3.5,Yes,https://www.yelp.com/biz/lido-bayside-grill-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Estiatorio Milos By Costas Spiliadis,"Greek, Seafood, Mediterranean",730 First St,+13056046800,4,Yes,https://www.yelp.com/biz/estiatorio-milos-by-costas-spiliadis-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Prime Fish,"Seafood, Steakhouses",100 Collins Ave,+13055324550,4,Yes,https://www.yelp.com/biz/prime-fish-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Jaya at The Setai,Asian Fusion,2001 Collins Ave,+13058098205,4,No,https://www.yelp.com/biz/jaya-at-the-setai-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sriracha House,"Asian Fusion, Chinese, Thai",1502 Washington Ave,+13055340303,3.5,Yes,https://www.yelp.com/biz/sriracha-house-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Abbalé Telavivian Kitchen,"Mediterranean, Middle Eastern, Breakfast & Brunch",864 Commerce St,,4.5,No,https://www.yelp.com/biz/abbal%C3%A9-telavivian-kitchen-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Insomnia Cookies,"Desserts, Food Delivery Services, Ice Cream & Frozen Yogurt",1227 Washington Ave,+18776326654,4,Yes,https://www.yelp.com/biz/insomnia-cookies-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Time Out Market Miami,"Food Court, Venues & Event Spaces, Bars",1601 Drexel Ave,+17867535388,4,No,https://www.yelp.com/biz/time-out-market-miami-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Greenstreet Cafe,"Breakfast & Brunch, American (Traditional), Cocktail Bars",3468 Main Hwy,+13054440244,4,Yes,https://www.yelp.com/biz/greenstreet-cafe-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Serena Rooftop,"Mexican, Cocktail Bars, Latin American",915 Collins Ct,+13053060776,4,Yes,https://www.yelp.com/biz/serena-rooftop-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
CAO Bakery & Cafe,"Coffee & Tea, Cuban, Bakeries",1420 Alton Rd,+13053978002,4,Yes,https://www.yelp.com/biz/cao-bakery-and-cafe-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sanguich De Miami,"Cuban, Sandwiches",2057 SW 8th St,+13055390969,4.5,Yes,https://www.yelp.com/biz/sanguich-de-miami-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Soya & Pomodoro,"Italian, Salad",120 NE 1st St,+13053819511,4.5,Yes,https://www.yelp.com/biz/soya-and-pomodoro-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
R House Wynwood,"Latin American, Cocktail Bars, Breakfast & Brunch",2727 NW 2nd Ave,+13055760201,4,Yes,https://www.yelp.com/biz/r-house-wynwood-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Holocaust Memorial Miami Beach,Landmarks & Historical Buildings,1933-1945 Meridian Ave,+13055381663,5,No,https://www.yelp.com/biz/holocaust-memorial-miami-beach-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
COTE Miami,"Korean, Steakhouses",3900 NE 2nd Ave,+13054344668,4.5,No,https://www.yelp.com/biz/cote-miami-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Love Life Cafe,"Gluten-Free, Vegan, Vegetarian",105 NE 24th St,+13054564148,4,Yes,https://www.yelp.com/biz/love-life-cafe-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
NOA Cafe,"American (New), Breakfast & Brunch, Peruvian",2711 NE 2nd Ave,+13055732557,4,Yes,https://www.yelp.com/biz/noa-cafe-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Bar One Miami Beach,"Caribbean, Lounges",520 W Ave,+13057638323,3.5,Yes,https://www.yelp.com/biz/bar-one-miami-beach-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Shepherd Artisan Coffee,"Coffee & Tea, Desserts, Breakfast & Brunch",919 Collins Ave,+13054229770,4,Yes,https://www.yelp.com/biz/shepherd-artisan-coffee-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Limonada Bar + Brunch,"Breakfast & Brunch, Sports Bars, American (New)",825 Washington Ave,+13058000201,4,Yes,https://www.yelp.com/biz/limonada-bar-brunch-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Panther Coffee,"Coffee & Tea, Coffee Roasteries",1875 Purdy Ave,+13056773952,4,Yes,https://www.yelp.com/biz/panther-coffee-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Carbone Miami,"American (New), Italian",49 Collins Ave,,4,No,https://www.yelp.com/biz/carbone-miami-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Spiga,Italian,1228 Collins Ave,+13055340079,4,Yes,https://www.yelp.com/biz/spiga-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Panizza Bistro,"Argentine, Tapas/Small Plates, Breakfast & Brunch",1229 Lincoln Rd,+13056958800,4,Yes,https://www.yelp.com/biz/panizza-bistro-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Hakkasan - Miami,"Dim Sum, Cantonese",4441 Collins Ave,+18773267412,4,Yes,https://www.yelp.com/biz/hakkasan-miami-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Di Mauro's Italian Restaurant & Bar,"Italian, Pizza, Seafood",1464 Washington Ave,+13056735774,4,Yes,https://www.yelp.com/biz/di-mauros-italian-restaurant-and-bar-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Burgermeister - South Beach,"Burgers, Tacos, Chicken Wings",425 Washington Ave,+13055340070,4,Yes,https://www.yelp.com/biz/burgermeister-south-beach-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Vizcaya Museum & Gardens,"Museums, Botanical Gardens",3251 S Miami Ave,+13052509133,4.5,No,https://www.yelp.com/biz/vizcaya-museum-and-gardens-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Palace Bar,"Gay Bars, Breakfast & Brunch, Dance Clubs",1052 Ocean Dr,+13055317234,4,Yes,https://www.yelp.com/biz/palace-bar-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Jamon Iberico Pata Negra Restaurant Tapas & Wine Bar,"Spanish, Tapas Bars, Wine Bars",10 SW S River Dr,+13053241111,4.5,Yes,https://www.yelp.com/biz/jamon-iberico-pata-negra-restaurant-tapas-and-wine-bar-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
J Wakefield Brewing,"Breweries, Beer Bar, Sports Bars",120 NW 24th St,+17862547779,4.5,Yes,https://www.yelp.com/biz/j-wakefield-brewing-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Casa Isola Osteria,Italian,1418 20th St,+17865585787,4.5,Yes,https://www.yelp.com/biz/casa-isola-osteria-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
North Italia,"Italian, Pizza, Cocktail Bars",900 S Miami Ave,+17864759100,4,Yes,https://www.yelp.com/biz/north-italia-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Sushi Garage,"Sushi Bars, Japanese",1784 West Ave,+13057638355,3.5,No,https://www.yelp.com/biz/sushi-garage-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Texas de Brazil - Miami Beach,"Brazilian, Steakhouses, Venues & Event Spaces",300 Alton Rd,+13056957702,4,Yes,https://www.yelp.com/biz/texas-de-brazil-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Motek Cafe,"Cafes, Falafel",36 NE 1st St,+17869537689,4.5,Yes,https://www.yelp.com/biz/motek-cafe-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
News cafe,"Breakfast & Brunch, Cocktail Bars, Cafes",800 Ocean Dr,+17866446061,3,Yes,https://www.yelp.com/biz/news-cafe-coming-soon-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Scarpetta,Italian,4441 Collins Ave,+13056744660,4,Yes,https://www.yelp.com/biz/scarpetta-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
dbakers Sweet Studio,"Bakeries, Cupcakes, Macarons",3501 NE 2nd Ave,+17863108763,4.5,Yes,https://www.yelp.com/biz/dbakers-sweet-studio-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Ichimi MIA,Japanese,3252 NE 1st Ave,+17865223834,4.5,Yes,https://www.yelp.com/biz/ichimi-mia-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Eggstaurant,"Breakfast & Brunch, American (New), Coffee & Tea",1516 Washington Ave,+13054979082,4.5,Yes,https://www.yelp.com/biz/eggstaurant-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pizza Bar Collins Ave,"Pizza, Italian",1627 Collins Ave,+13056726880,3.5,Yes,https://www.yelp.com/biz/pizza-bar-collins-ave-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Bonding,"Sushi Bars, Thai, Japanese",638 S Miami Ave,+17864094796,4,Yes,https://www.yelp.com/biz/bonding-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
ALL DAY,"Coffee & Tea, Breakfast & Brunch, Sandwiches",1035 N Miami Ave,+13056993447,4,Yes,https://www.yelp.com/biz/all-day-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
American Social,"American (New), Sports Bars, Burgers",690 SW 1st Ct,+13052237004,3.5,Yes,https://www.yelp.com/biz/american-social-miami-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Garden House Latin Restaurant ,"Colombian, Peruvian",710 Washington Ave,+13057638868,4.5,Yes,https://www.yelp.com/biz/garden-house-latin-restaurant-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Amara at Paraiso,"Latin American, Bars",3101 NE 7th Ave,+13056769495,4,Yes,https://www.yelp.com/biz/amara-at-paraiso-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Suite Habana Cafe,"Coffee & Tea, Bakeries",2609 N Miami Ave,,5,Yes,https://www.yelp.com/biz/suite-habana-cafe-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
OMAKAI sushi,"Sushi Bars, Japanese, Wine Bars",2107 NW 2nd Ave,+17865799995,4.5,Yes,https://www.yelp.com/biz/omakai-sushi-miami-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Taiyaki NYC - Miami,"Ice Cream & Frozen Yogurt, Japanese, Desserts",143 NW 23rd St,+17867149008,4.5,Yes,https://www.yelp.com/biz/taiyaki-nyc-miami-miami-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
La Sandwicherie Brickell,"Sandwiches, French, Juice Bars & Smoothies",34 SW 8th St,+13053749852,4,Yes,https://www.yelp.com/biz/la-sandwicherie-brickell-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
LIME Fresh Mexican Grill,Mexican,1439 Alton Rd,+17864205463,4,No,https://www.yelp.com/biz/lime-fresh-mexican-grill-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Call Me Gaby,"Italian, Pizza",22 Washington Ave,+13055314800,4,Yes,https://www.yelp.com/biz/call-me-gaby-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Delicious Raw Kitchen & Juice Bar,"Vegan, Vegetarian, Juice Bars & Smoothies",1828 Bay Rd,+17864527575,4.5,Yes,https://www.yelp.com/biz/delicious-raw-kitchen-and-juice-bar-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Azabu Miami Beach,"Sushi Bars, Japanese",161 Ocean Dr,+17862760520,4,Yes,https://www.yelp.com/biz/azabu-miami-beach-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Grails Miami - Restaurant & Sports Bar,"Sports Bars, American (New), Lounges",2800 N Miami Ave,+17868704313,4.5,Yes,https://www.yelp.com/biz/grails-miami-restaurant-and-sports-bar-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Hosteria Romana,Italian,429 Espanola Way,+13055324299,3.5,Yes,https://www.yelp.com/biz/hosteria-romana-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pérez Art Museum Miami,"Art Museums, Art Galleries",1103 Biscayne Blvd,+13053753000,4,No,https://www.yelp.com/biz/p%C3%A9rez-art-museum-miami-miami-7?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Prime Italian,"Italian, Steakhouses",101 Ocean Dr,+13056958484,3.5,Yes,https://www.yelp.com/biz/prime-italian-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Twenty Seven Restaurant & Bar,"American (New), Cocktail Bars",2727 Indian Creek Dr,+17864767020,4,Yes,https://www.yelp.com/biz/twenty-seven-restaurant-and-bar-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pollos & Jarras,Peruvian,1237 Lincoln Rd,+17865773464,5,No,https://www.yelp.com/biz/pollos-and-jarras-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pubbelly Sushi Brickell,"Sushi Bars, Japanese, Cocktail Bars",701 S Miami Ave,+17868995043,4,Yes,https://www.yelp.com/biz/pubbelly-sushi-brickell-miami-4?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Kalamata Mediterranean cuisine,"Mediterranean, Turkish, Greek",423 Washington Ave,+17869534662,4.5,Yes,https://www.yelp.com/biz/kalamata-mediterranean-cuisine-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
CJ's Crab Shack,Seafood,600 Ocean Dr,+13056045951,3.5,Yes,https://www.yelp.com/biz/cjs-crab-shack-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
La Cerveceria de Barrio,"Mexican, Bars, Desserts",836 Lincoln Rd,+13055357400,4,Yes,https://www.yelp.com/biz/la-cerveceria-de-barrio-miami-beach-8?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
